run,tag,step,value
class_intro_fed_avg_freq_0.05_11_2022-07-30,Accuracy,19,0.8614795804023743
class_intro_fed_avg_freq_0.05_11_2022-07-30,Accuracy,20,0.8607142567634583
class_intro_fed_avg_freq_0.05_11_2022-07-30,Loss,1,0.862125813961029
class_intro_fed_avg_freq_0.05_11_2022-07-30,Loss,2,0.8082864880561829
class_intro_fed_avg_freq_0.05_11_2022-07-30,Loss,3,0.5660974383354187
class_intro_fed_avg_freq_0.05_11_2022-07-30,Loss,4,0.5417371988296509
class_intro_fed_avg_freq_0.05_11_2022-07-30,Loss,5,0.5085083842277527
class_intro_fed_avg_freq_0.05_11_2022-07-30,Loss,6,0.7001826167106628
class_intro_fed_avg_freq_0.05_11_2022-07-30,Loss,7,0.4275899827480316
class_intro_fed_avg_freq_0.05_11_2022-07-30,Loss,8,0.42914074659347534
class_intro_fed_avg_freq_0.05_11_2022-07-30,Loss,9,0.4213023781776428
class_intro_fed_avg_freq_0.05_11_2022-07-30,Loss,10,10.869210243225098
class_intro_fed_avg_freq_0.05_11_2022-07-30,Loss,11,10.454301834106445
class_intro_fed_avg_freq_0.05_11_2022-07-30,Loss,12,12.263712882995605
class_intro_fed_avg_freq_0.05_11_2022-07-30,Loss,13,1.7501848936080933
class_intro_fed_avg_freq_0.05_11_2022-07-30,Loss,14,8.512764930725098
class_intro_fed_avg_freq_0.05_11_2022-07-30,Loss,15,9.520089149475098
class_intro_fed_avg_freq_0.05_11_2022-07-30,Loss,16,9.347845077514648
class_intro_fed_avg_freq_0.05_11_2022-07-30,Loss,17,10.16635513305664
class_intro_fed_avg_freq_0.05_11_2022-07-30,Loss,18,0.85940021276474
class_intro_fed_avg_freq_0.05_11_2022-07-30,Loss,19,3.6921510696411133
class_intro_fed_avg_freq_0.05_11_2022-07-30,Loss,20,11.245515823364258
class_intro_fed_avg_freq_0.05_12_2022-07-30,Accuracy,1,0.8186224699020386
class_intro_fed_avg_freq_0.05_12_2022-07-30,Accuracy,2,0.9283163547515869
class_intro_fed_avg_freq_0.05_12_2022-07-30,Accuracy,3,0.9535714387893677
class_intro_fed_avg_freq_0.05_12_2022-07-30,Accuracy,4,0.9568877816200256
class_intro_fed_avg_freq_0.05_12_2022-07-30,Accuracy,5,0.9573979377746582
class_intro_fed_avg_freq_0.05_12_2022-07-30,Accuracy,6,0.9729591608047485
class_intro_fed_avg_freq_0.05_12_2022-07-30,Accuracy,7,0.9637755155563354
class_intro_fed_avg_freq_0.05_12_2022-07-30,Accuracy,8,0.9739795923233032
class_intro_fed_avg_freq_0.05_12_2022-07-30,Accuracy,9,0.9793367385864258
class_intro_fed_avg_freq_0.05_12_2022-07-30,Accuracy,10,0.8571428656578064
class_intro_fed_avg_freq_0.05_12_2022-07-30,Accuracy,11,0.8543367385864258
class_intro_fed_avg_freq_0.05_12_2022-07-30,Accuracy,12,0.855867326259613
class_intro_fed_avg_freq_0.05_12_2022-07-30,Accuracy,13,0.8556122183799744
class_intro_fed_avg_freq_0.05_12_2022-07-30,Accuracy,14,0.8561224341392517
class_intro_fed_avg_freq_0.05_12_2022-07-30,Accuracy,15,0.8627551198005676
class_intro_fed_avg_freq_0.05_12_2022-07-30,Accuracy,16,0.8586734533309937
class_intro_fed_avg_freq_0.05_12_2022-07-30,Accuracy,17,0.8563775420188904
class_intro_fed_avg_freq_0.05_12_2022-07-30,Accuracy,18,0.856632649898529
class_intro_fed_avg_freq_0.05_12_2022-07-30,Accuracy,19,0.859183669090271
class_intro_fed_avg_freq_0.05_12_2022-07-30,Accuracy,20,0.8604592084884644
class_intro_fed_avg_freq_0.05_12_2022-07-30,Loss,1,0.6839795112609863
class_intro_fed_avg_freq_0.05_12_2022-07-30,Loss,2,0.7050244212150574
class_intro_fed_avg_freq_0.05_12_2022-07-30,Loss,3,0.570488452911377
class_intro_fed_avg_freq_0.05_12_2022-07-30,Loss,4,0.6472477316856384
class_intro_fed_avg_freq_0.05_12_2022-07-30,Loss,5,0.5898223519325256
class_intro_fed_avg_freq_0.05_12_2022-07-30,Loss,6,0.3537798523902893
class_intro_fed_avg_freq_0.05_12_2022-07-30,Loss,7,0.6583154201507568
class_intro_fed_avg_freq_0.05_12_2022-07-30,Loss,8,0.42378342151641846
class_intro_fed_avg_freq_0.05_12_2022-07-30,Loss,9,0.3290838301181793
class_intro_fed_avg_freq_0.05_12_2022-07-30,Loss,10,12.012715339660645
class_intro_fed_avg_freq_0.05_12_2022-07-30,Loss,11,10.711878776550293
class_intro_fed_avg_freq_0.05_12_2022-07-30,Loss,12,10.160157203674316
class_intro_fed_avg_freq_0.05_12_2022-07-30,Loss,13,11.79552936553955
class_intro_fed_avg_freq_0.05_12_2022-07-30,Loss,14,8.767600059509277
class_intro_fed_avg_freq_0.05_12_2022-07-30,Loss,15,10.577369689941406
class_intro_fed_avg_freq_0.05_12_2022-07-30,Loss,16,8.511512756347656
class_intro_fed_avg_freq_0.05_12_2022-07-30,Loss,17,9.572245597839355
class_intro_fed_avg_freq_0.05_12_2022-07-30,Loss,18,10.845656394958496
class_intro_fed_avg_freq_0.05_12_2022-07-30,Loss,19,11.929240226745605
class_intro_fed_avg_freq_0.05_12_2022-07-30,Loss,20,15.477158546447754
class_intro_fed_avg_freq_0.05_13_2022-07-30,Accuracy,1,0.8344388008117676
class_intro_fed_avg_freq_0.05_13_2022-07-30,Accuracy,2,0.9188775420188904
class_intro_fed_avg_freq_0.05_13_2022-07-30,Accuracy,3,0.9446428418159485
class_intro_fed_avg_freq_0.05_13_2022-07-30,Accuracy,4,0.9619898200035095
class_intro_fed_avg_freq_0.05_13_2022-07-30,Accuracy,5,0.9665816426277161
class_intro_fed_avg_freq_0.05_13_2022-07-30,Accuracy,6,0.9673469662666321
class_intro_fed_avg_freq_0.05_13_2022-07-30,Accuracy,7,0.9663265347480774
class_intro_fed_avg_freq_0.05_13_2022-07-30,Accuracy,8,0.9701530337333679
class_intro_fed_avg_freq_0.05_13_2022-07-30,Accuracy,9,0.9767857193946838
class_intro_fed_avg_freq_0.05_13_2022-07-30,Accuracy,10,0.855867326259613
class_intro_fed_avg_freq_0.05_13_2022-07-30,Accuracy,11,0.8535714149475098
class_intro_fed_avg_freq_0.05_13_2022-07-30,Accuracy,12,0.8561224341392517
class_intro_fed_avg_freq_0.05_13_2022-07-30,Accuracy,13,0.8551020622253418
class_intro_fed_avg_freq_0.05_13_2022-07-30,Accuracy,14,0.8938775658607483
class_intro_fed_avg_freq_0.05_13_2022-07-30,Accuracy,15,0.8586734533309937
class_intro_fed_avg_freq_0.05_13_2022-07-30,Accuracy,16,0.8581632375717163
class_intro_fed_avg_freq_0.05_13_2022-07-30,Accuracy,17,0.8581632375717163
class_intro_fed_avg_freq_0.05_13_2022-07-30,Accuracy,18,0.9747449159622192
class_intro_fed_avg_freq_0.05_13_2022-07-30,Accuracy,19,0.863265335559845
class_intro_fed_avg_freq_0.05_13_2022-07-30,Accuracy,20,0.8589285612106323
class_intro_fed_avg_freq_0.05_13_2022-07-30,Loss,1,0.7182477712631226
class_intro_fed_avg_freq_0.05_13_2022-07-30,Loss,2,0.6616057753562927
class_intro_fed_avg_freq_0.05_13_2022-07-30,Loss,3,0.6722063422203064
class_intro_fed_avg_freq_0.05_13_2022-07-30,Loss,4,0.5500545501708984
class_intro_fed_avg_freq_0.05_13_2022-07-30,Loss,5,0.6146149635314941
class_intro_fed_avg_freq_0.05_13_2022-07-30,Loss,6,0.599082887172699
class_intro_fed_avg_freq_0.05_13_2022-07-30,Loss,7,0.536442756652832
class_intro_fed_avg_freq_0.05_13_2022-07-30,Loss,8,0.471796452999115
class_intro_fed_avg_freq_0.05_13_2022-07-30,Loss,9,0.3247733414173126
class_intro_fed_avg_freq_0.05_13_2022-07-30,Loss,10,9.609673500061035
class_intro_fed_avg_freq_0.05_13_2022-07-30,Loss,11,9.467774391174316
class_intro_fed_avg_freq_0.05_13_2022-07-30,Loss,12,8.84005355834961
class_intro_fed_avg_freq_0.05_13_2022-07-30,Loss,13,14.62359619140625
class_intro_fed_avg_freq_0.05_13_2022-07-30,Loss,14,2.082857370376587
class_intro_fed_avg_freq_0.05_13_2022-07-30,Loss,15,11.58407211303711
class_intro_fed_avg_freq_0.05_13_2022-07-30,Loss,16,10.835063934326172
class_intro_fed_avg_freq_0.05_13_2022-07-30,Loss,17,10.13868236541748
class_intro_fed_avg_freq_0.05_13_2022-07-30,Loss,18,0.25040411949157715
class_intro_fed_avg_freq_0.05_13_2022-07-30,Loss,19,3.9485552310943604
class_intro_fed_avg_freq_0.05_13_2022-07-30,Loss,20,6.396482467651367
class_intro_fed_avg_freq_0.05_14_2022-07-30,Accuracy,1,0.8655612468719482
class_intro_fed_avg_freq_0.05_14_2022-07-30,Accuracy,2,0.9336734414100647
class_intro_fed_avg_freq_0.05_14_2022-07-30,Accuracy,3,0.940816342830658
class_intro_fed_avg_freq_0.05_14_2022-07-30,Accuracy,4,0.9568877816200256
class_intro_fed_avg_freq_0.05_14_2022-07-30,Accuracy,5,0.9632652997970581
class_intro_fed_avg_freq_0.05_14_2022-07-30,Accuracy,6,0.9790816307067871
class_intro_fed_avg_freq_0.05_14_2022-07-30,Accuracy,7,0.9778061509132385
class_intro_fed_avg_freq_0.05_14_2022-07-30,Accuracy,8,0.9750000238418579
class_intro_fed_avg_freq_0.05_14_2022-07-30,Accuracy,9,0.9844387769699097
class_intro_fed_avg_freq_0.05_14_2022-07-30,Accuracy,10,0.8533163070678711
class_intro_fed_avg_freq_0.05_14_2022-07-30,Accuracy,11,0.858418345451355
